日期,000001,000002,000858,002594,600036,600048,600050,600519,600900,601857,hs300_close,hs300_return
2020-01-02,13.68472469,26.59432424,111.86238232,15.58236879,29.43297648,12.60270324,5.15310452,979.04556,14.99544207,4.37788122,4152.24,
2020-01-03,13.93619266,26.17776695,110.56658095,15.54031548,29.8266274,12.3624303,5.15310452,934.47732672,15.07663017,4.4375457,4144.964,-0.0017538442745442479
2020-01-06,13.84696209,25.73670629,109.4232268,15.61795236,29.70550404,12.15316032,5.13604126,933.98347188,14.7762342,4.64637138,4129.295,-0.0037874131642058424
2020-01-07,13.91185705,25.94090104,109.56720473,15.54355035,29.63737215,12.23841846,5.13604126,948.31392636,14.76811539,4.55687466,4160.227,0.0074629498696334486
2020-01-08,13.51437542,25.87555872,109.16067881,15.29446536,29.07717661,12.02914848,5.05072496,942.77755368,14.65445205,4.64637138,4112.317,-0.011583023470962453
2020-01-09,13.61982973,26.3002838,110.75290533,15.41415555,29.4481169,12.61820472,5.07631985,955.3925124,14.68692729,4.51958436,4164.369,0.012578146920030368
2020-01-10,13.53871103,25.69586734,113.16665298,15.17801004,29.55409984,12.41668548,5.04219333,963.88335,14.613858,4.46737794,4163.184,-0.00028459741006698047
2020-01-13,13.78206713,25.87555872,118.28210414,16.69516407,29.5995211,12.77321952,5.04219333,974.08101924,14.67068967,4.45246182,4203.988,0.009753432455149452
2020-01-14,13.59549412,25.63869281,117.35048224,17.28714528,29.37998501,12.6724599,5.27254734,959.4646488,14.75999658,4.4375457,4189.886,-0.0033600726595926144
2020-01-15,13.40080924,24.90359171,119.2476032,17.24509197,28.85764052,12.50194362,5.22135756,963.56277756,14.62197681,4.37788122,4166.734,-0.005541010417105987
2020-01-16,13.24668371,24.93626287,119.12903314,17.49741183,28.73651716,12.42443622,5.13604126,959.118084,14.63009562,4.34804898,4149.043,-0.004254810269430091
2020-01-17,13.29535493,24.87908834,117.34201295,18.74607165,28.71380653,12.49419288,5.09338311,959.55129,14.40276894,4.35550704,4154.853,0.001399343380041611
