code,name,industry,gamma,gamma_pval,gamma_CI_low,gamma_CI_high,R_squared
000001,平安银行,银行,-0.0087445581235856,0.26014700363010473,0.03403974049585283,0.006629386748480988,0.01946572711474126
600036,招商银行,银行,-0.009943650548104078,0.1888021520873708,0.04162566612068502,0.005009593012162902,0.026417777693992783
600519,贵州茅台,白酒,0.006343464282858869,0.4290230422823751,0.027151172095761344,0.022262246617419445,0.009649944002868782
000858,五粮液,白酒,0.009520263565145192,0.33902168303994273,0.025824879060635034,0.029260159197108896,0.014072011736175116
600048,保利发展,房地产,0.0064881587422684125,0.4913852700042697,0.018774035379747048,0.025212504481468993,0.007313821547184296
000002,万科A,房地产,0.004475144486245594,0.6518439773786506,0.009888651024290932,0.02419171993115992,0.003151252295137019
601857,中国石油,能源,-0.013388787336735927,0.07502905598799732,0.04937164066271519,0.0013900174403666133,0.04794766250699789
600900,长江电力,能源,-0.0018637333227090186,0.6787199411371929,0.027367601111226155,0.007081917028614529,0.002656386513348319
002594,比亚迪,汽车,0.00786308502329619,0.49880572582987526,0.0571387730222801,0.030950581898069707,0.007067320751834583
600050,中国联通,通讯,0.001050822908219044,0.8690272720981294,0.022452978185908967,0.013727815821602042,0.0004214501867224607
