code,name,industry,alpha,alpha_pval,alpha_CI_low,alpha_CI_high,beta,beta_CI_low,beta_CI_high,R_squared
000001,平安银行,银行,-0.00018117107927249644,0.6206785504344037,-0.0008991054906150777,0.0005367633320700848,0.9511468039998938,0.8902953399923921,1.0119982680073956,0.3807259420889678
600036,招商银行,银行,0.00014323781193487995,0.6825632945918229,-0.0005436371566220557,0.0008301127804918156,0.9048495469190885,0.8466306528718834,0.9630684409662935,0.3780541218918543
600519,贵州茅台,白酒,0.00021632360741505384,0.51388371639648,-0.000433526131452199,0.0008661733462823067,0.9772107464486586,0.9221300770028038,1.0322914158945133,0.4419809853489022
000858,五粮液,白酒,-8.424682728070171e-05,0.8297482668551506,-0.0008526399260750945,0.0006841462715136911,1.2944673361745787,1.2293390399734538,1.3595956323757035,0.49851443280578045
600048,保利发展,房地产,-0.0005896626010902353,0.25618317976790467,-0.0016079295917963542,0.0004286043896158837,0.848268496011556,0.7619611172927871,0.9345758747303248,0.19554586987392164
000002,万科A,房地产,-0.001311219486033431,0.008525793130144938,-0.002287704247708057,-0.000334734724358805,1.002843245593224,0.9200772903887681,1.0856092007976796,0.269772359937984
601857,中国石油,能源,0.0006135943371633494,0.16978688754620092,-0.00026266581150827186,0.0014898544858349707,0.46849441409308806,0.3942234054108542,0.5427654227753219,0.09101318504642775
600900,长江电力,能源,0.0003054804403660716,0.27070640238590565,-0.00023834369349908289,0.0008493045742312261,0.2260741780512312,0.1799801419032476,0.2721682141992148,0.057077505018390706
002594,比亚迪,汽车,0.0011738718448305611,0.041561093345352705,4.494385874408385e-05,0.0023027998309170386,1.2816645668946445,1.185977663429556,1.377351470359733,0.3110390422020649
600050,中国联通,通讯,-0.00014838154333057715,0.7185449480231442,-0.0009558060313116224,0.000659042944650468,0.7139844630112311,0.6455479019648362,0.7824210240576259,0.2150034597085252
