date,open,high,low,close,volume,amount
2020-01-02,4.37788122,4.37788122,4.37788122,4.37788122,0,0
2020-01-03,4.37788122,4.4375457,4.4375457,4.4375457,0,0
2020-01-06,4.4375457,4.64637138,4.64637138,4.64637138,0,0
2020-01-07,4.64637138,4.55687466,4.55687466,4.55687466,0,0
2020-01-08,4.55687466,4.64637138,4.64637138,4.64637138,0,0
2020-01-09,4.64637138,4.51958436,4.51958436,4.51958436,0,0
2020-01-10,4.51958436,4.46737794,4.46737794,4.46737794,0,0
2020-01-13,4.46737794,4.45246182,4.45246182,4.45246182,0,0
2020-01-14,4.45246182,4.4375457,4.4375457,4.4375457,0,0
2020-01-15,4.4375457,4.37788122,4.37788122,4.37788122,0,0
2020-01-16,4.37788122,4.34804898,4.34804898,4.34804898,0,0
2020-01-17,4.34804898,4.35550704,4.35550704,4.35550704,0,0
2020-01-20,4.35550704,4.3629651,4.3629651,4.3629651,0,0
2020-01-21,4.3629651,4.31821674,4.31821674,4.31821674,0,0
2020-01-22,4.31821674,4.28092644,4.28092644,4.28092644,0,0
2020-01-23,4.28092644,4.20634584,4.20634584,4.20634584,0,0
2020-02-03,4.20634584,3.82598478,3.82598478,3.82598478,0,0
2020-02-04,3.82598478,3.85581702,3.85581702,3.85581702,0,0
2020-02-05,3.85581702,3.88564926,3.88564926,3.88564926,0,0
2020-02-06,3.88564926,3.93039762,3.93039762,3.93039762,0,0
2020-02-07,3.93039762,3.93785568,3.93785568,3.93785568,0,0
2020-02-10,3.93785568,3.93785568,3.93785568,3.93785568,0,0
2020-02-11,3.93785568,3.9527718,3.9527718,3.9527718,0,0
2020-02-12,3.9527718,3.96022986,3.96022986,3.96022986,0,0
2020-02-13,3.96022986,3.93785568,3.93785568,3.93785568,0,0
2020-02-14,3.93785568,3.93785568,3.93785568,3.93785568,0,0
2020-02-17,3.93785568,4.01243628,4.01243628,4.01243628,0,0
2020-02-18,4.01243628,3.9900621,3.9900621,3.9900621,0,0
2020-02-19,3.9900621,3.97514598,3.97514598,3.97514598,0,0
2020-02-20,3.97514598,4.01243628,4.01243628,4.01243628,0,0
2020-02-21,4.01243628,4.00497822,4.00497822,4.00497822,0,0
2020-02-24,4.00497822,3.93785568,3.93785568,3.93785568,0,0
