date,open,high,low,close,volume,amount
2020-01-02,111.86238232,111.86238232,111.86238232,111.86238232,0,0
2020-01-03,111.86238232,110.56658095,110.56658095,110.56658095,0,0
2020-01-06,110.56658095,109.4232268,109.4232268,109.4232268,0,0
2020-01-07,109.4232268,109.56720473,109.56720473,109.56720473,0,0
2020-01-08,109.56720473,109.16067881,109.16067881,109.16067881,0,0
2020-01-09,109.16067881,110.75290533,110.75290533,110.75290533,0,0
2020-01-10,110.75290533,113.16665298,113.16665298,113.16665298,0,0
2020-01-13,113.16665298,118.28210414,118.28210414,118.28210414,0,0
2020-01-14,118.28210414,117.35048224,117.35048224,117.35048224,0,0
2020-01-15,117.35048224,119.2476032,119.2476032,119.2476032,0,0
2020-01-16,119.2476032,119.12903314,119.12903314,119.12903314,0,0
2020-01-17,119.12903314,117.34201295,117.34201295,117.34201295,0,0
2020-01-20,117.34201295,116.50355324,116.50355324,116.50355324,0,0
2020-01-21,116.50355324,112.31972398,112.31972398,112.31972398,0,0
2020-01-22,112.31972398,111.5405493,111.5405493,111.5405493,0,0
2020-01-23,111.5405493,106.84856264,106.84856264,106.84856264,0,0
2020-02-03,106.84856264,96.16031866,96.16031866,96.16031866,0,0
2020-02-04,96.16031866,96.9733705,96.9733705,96.9733705,0,0
2020-02-05,96.9733705,99.52262679,99.52262679,99.52262679,0,0
2020-02-06,99.52262679,100.91159035,100.91159035,100.91159035,0,0
2020-02-07,100.91159035,102.12269882,102.12269882,102.12269882,0,0
2020-02-10,102.12269882,102.58850977,102.58850977,102.58850977,0,0
2020-02-11,102.58850977,105.68826991,105.68826991,105.68826991,0,0
2020-02-12,105.68826991,105.43419121,105.43419121,105.43419121,0,0
2020-02-13,105.43419121,105.13776606,105.13776606,105.13776606,0,0
2020-02-14,105.13776606,104.53644647,104.53644647,104.53644647,0,0
2020-02-17,104.53644647,105.2732747,105.2732747,105.2732747,0,0
2020-02-18,105.2732747,104.50256931,104.50256931,104.50256931,0,0
2020-02-19,104.50256931,106.713054,106.713054,106.713054,0,0
2020-02-20,106.713054,110.22780935,110.22780935,110.22780935,0,0
2020-02-21,110.22780935,110.10077,110.10077,110.10077,0,0
2020-02-24,110.10077,107.6446759,107.6446759,107.6446759,0,0
2020-02-25,107.6446759,106.1202037,106.1202037,106.1202037,0,0
2020-02-26,106.1202037,105.1038889,105.1038889,105.1038889,0,0
2020-02-27,105.1038889,106.9671327,106.9671327,106.9671327,0,0
2020-02-28,106.9671327,102.1396374,102.1396374,102.1396374,0,0
2020-03-02,102.1396374,103.87584185,103.87584185,103.87584185,0,0
2020-03-03,103.87584185,105.33255973,105.33255973,105.33255973,0,0
2020-03-04,105.33255973,106.09479583,106.09479583,106.09479583,0,0
2020-03-05,106.09479583,112.8109428,112.8109428,112.8109428,0,0
2020-03-06,112.8109428,110.16005503,110.16005503,110.16005503,0,0
2020-03-09,110.16005503,106.9671327,106.9671327,106.9671327,0,0
2020-03-10,106.9671327,110.71055888,110.71055888,110.71055888,0,0
2020-03-11,110.71055888,110.0160771,110.0160771,110.0160771,0,0
2020-03-12,110.0160771,106.74693116,106.74693116,106.74693116,0,0
2020-03-13,106.74693116,103.8334954,103.8334954,103.8334954,0,0
2020-03-16,103.8334954,97.8202995,97.8202995,97.8202995,0,0
2020-03-17,97.8202995,95.16094244,95.16094244,95.16094244,0,0
2020-03-18,95.16094244,91.12109111,91.12109111,91.12109111,0,0
2020-03-19,91.12109111,86.47992019,86.47992019,86.47992019,0,0
2020-03-20,86.47992019,91.90026579,91.90026579,91.90026579,0,0
2020-03-23,91.90026579,88.51254979,88.51254979,88.51254979,0,0
2020-03-24,88.51254979,92.35760745,92.35760745,92.35760745,0,0
2020-03-25,92.35760745,96.549906,96.549906,96.549906,0,0
2020-03-26,96.549906,96.45674381,96.45674381,96.45674381,0,0
2020-03-27,96.45674381,98.08284749,98.08284749,98.08284749,0,0
2020-03-30,98.08284749,95.89777067,95.89777067,95.89777067,0,0
2020-03-31,95.89777067,97.5662208,97.5662208,97.5662208,0,0
2020-04-01,97.5662208,97.396835,97.396835,97.396835,0,0
2020-04-02,97.396835,99.25160951,99.25160951,99.25160951,0,0
2020-04-03,99.25160951,99.53109608,99.53109608,99.53109608,0,0
2020-04-07,99.53109608,105.13776606,105.13776606,105.13776606,0,0
2020-04-08,105.13776606,106.10326512,106.10326512,106.10326512,0,0
2020-04-09,106.10326512,105.84918642,105.84918642,105.84918642,0,0
2020-04-10,105.84918642,107.15345708,107.15345708,107.15345708,0,0
2020-04-13,107.15345708,105.866125,105.866125,105.866125,0,0
2020-04-14,105.866125,108.78803005,108.78803005,108.78803005,0,0
2020-04-15,108.78803005,108.33068839,108.33068839,108.33068839,0,0
2020-04-16,108.33068839,106.7977469,106.7977469,106.7977469,0,0
2020-04-17,106.7977469,109.10139378,109.10139378,109.10139378,0,0
2020-04-20,109.10139378,109.51638899,109.51638899,109.51638899,0,0
2020-04-21,109.51638899,107.11111063,107.11111063,107.11111063,0,0
2020-04-22,107.11111063,110.3548487,110.3548487,110.3548487,0,0
2020-04-23,110.3548487,111.02392261,111.02392261,111.02392261,0,0
2020-04-24,111.02392261,111.2864706,111.2864706,111.2864706,0,0
2020-04-27,111.2864706,112.3874783,112.3874783,112.3874783,0,0
2020-04-28,112.3874783,117.723131,117.723131,117.723131,0,0
2020-04-29,117.723131,114.7588795,114.7588795,114.7588795,0,0
2020-04-30,114.7588795,114.98755033,114.98755033,114.98755033,0,0
2020-05-06,114.98755033,117.05405709,117.05405709,117.05405709,0,0
2020-05-07,117.05405709,120.18769439,120.18769439,120.18769439,0,0
2020-05-08,120.18769439,121.0261541,121.0261541,121.0261541,0,0
2020-05-11,121.0261541,120.13687865,120.13687865,120.13687865,0,0
2020-05-12,120.13687865,121.0261541,121.0261541,121.0261541,0,0
2020-05-13,121.0261541,123.651634,123.651634,123.651634,0,0
2020-05-14,123.651634,123.9057127,123.9057127,123.9057127,0,0
2020-05-15,123.9057127,122.99102938,122.99102938,122.99102938,0,0
2020-05-18,122.99102938,128.04719551,128.04719551,128.04719551,0,0
2020-05-19,128.04719551,128.24198918,128.24198918,128.24198918,0,0
2020-05-20,128.24198918,127.75923965,127.75923965,127.75923965,0,0
2020-05-21,127.75923965,128.46219072,128.46219072,128.46219072,0,0
2020-05-22,128.46219072,122.16950825,122.16950825,122.16950825,0,0
2020-05-25,122.16950825,124.52397087,124.52397087,124.52397087,0,0
2020-05-26,124.52397087,125.18457549,125.18457549,125.18457549,0,0
2020-05-27,125.18457549,123.78714264,123.78714264,123.78714264,0,0
2020-05-28,123.78714264,123.78714264,123.78714264,123.78714264,0,0
2020-05-29,123.78714264,125.5148778,125.5148778,125.5148778,0,0
2020-06-01,125.5148778,134.31447011,134.31447011,134.31447011,0,0
2020-06-02,134.31447011,134.46691733,134.46691733,134.46691733,0,0
2020-06-03,134.46691733,134.01804496,134.01804496,134.01804496,0,0
2020-06-04,134.01804496,134.53467165,134.53467165,134.53467165,0,0
2020-06-05,134.53467165,135.58486361,135.58486361,135.58486361,0,0
2020-06-08,135.58486361,136.02526669,136.02526669,136.02526669,0,0
2020-06-09,136.02526669,137.71912469,137.71912469,137.71912469,0,0
2020-06-10,137.71912469,137.65983966,137.65983966,137.65983966,0,0
2020-06-11,137.65983966,135.56792503,135.56792503,135.56792503,0,0
2020-06-12,135.56792503,136.7790335,136.7790335,136.7790335,0,0
2020-06-15,136.7790335,132.967853,132.967853,132.967853,0,0
2020-06-16,132.967853,133.54376472,133.54376472,133.54376472,0,0
2020-06-17,133.54376472,132.01929252,132.01929252,132.01929252,0,0
2020-06-18,132.01929252,134.11967644,134.11967644,134.11967644,0,0
2020-06-19,134.11967644,140.22603453,140.22603453,140.22603453,0,0
2020-06-22,140.22603453,139.908442,139.908442,139.908442,0,0
2020-06-23,139.908442,144.18294532,144.18294532,144.18294532,0,0
2020-06-24,144.18294532,144.72369574,144.72369574,144.72369574,0,0
2020-06-29,144.72369574,143.770945,143.770945,143.770945,0,0
2020-06-30,143.770945,146.87811408,146.87811408,146.87811408,0,0
2020-07-01,146.87811408,156.19962132,156.19962132,156.19962132,0,0
2020-07-02,156.19962132,162.64570966,162.64570966,162.64570966,0,0
2020-07-03,162.64570966,161.98479248,161.98479248,161.98479248,0,0
2020-07-06,161.98479248,165.50396188,165.50396188,165.50396188,0,0
2020-07-07,165.50396188,173.28905126,173.28905126,173.28905126,0,0
2020-07-08,173.28905126,174.55080224,174.55080224,174.55080224,0,0
2020-07-09,174.55080224,174.85980248,174.85980248,174.85980248,0,0
2020-07-10,174.85980248,177.675138,177.675138,177.675138,0,0
2020-07-13,177.675138,187.2884788,187.2884788,187.2884788,0,0
2020-07-14,187.2884788,189.6059806,189.6059806,189.6059806,0,0
2020-07-15,189.6059806,192.2238993,192.2238993,192.2238993,0,0
2020-07-16,192.2238993,173.00580104,173.00580104,173.00580104,0,0
2020-07-17,173.00580104,176.29322026,176.29322026,176.29322026,0,0
2020-07-20,176.29322026,173.10880112,173.10880112,173.10880112,0,0
2020-07-21,173.10880112,176.45630372,176.45630372,176.45630372,0,0
2020-07-22,176.45630372,179.3059726,179.3059726,179.3059726,0,0
2020-07-23,179.3059726,180.31022338,180.31022338,180.31022338,0,0
2020-07-24,180.31022338,172.85988426,172.85988426,172.85988426,0,0
2020-07-27,172.85988426,175.1859694,175.1859694,175.1859694,0,0
2020-07-28,175.1859694,183.683476,183.683476,183.683476,0,0
2020-07-29,183.683476,184.52464332,184.52464332,184.52464332,0,0
2020-07-30,184.52464332,185.67481088,185.67481088,185.67481088,0,0
2020-07-31,185.67481088,186.687645,186.687645,186.687645,0,0
2020-08-03,186.687645,186.87647848,186.87647848,186.87647848,0,0
2020-08-04,186.87647848,185.2284772,185.2284772,185.2284772,0,0
2020-08-05,185.2284772,186.67047832,186.67047832,186.67047832,0,0
2020-08-06,186.67047832,181.12564068,181.12564068,181.12564068,0,0
2020-08-07,181.12564068,177.89830484,177.89830484,177.89830484,0,0
2020-08-10,177.89830484,176.76530396,176.76530396,176.76530396,0,0
2020-08-11,176.76530396,179.391806,179.391806,179.391806,0,0
2020-08-12,179.391806,177.22022098,177.22022098,177.22022098,0,0
2020-08-13,177.22022098,177.5893046,177.5893046,177.5893046,0,0
2020-08-14,177.5893046,182.7393086,182.7393086,182.7393086,0,0
2020-08-17,182.7393086,188.82489666,188.82489666,188.82489666,0,0
2020-08-18,188.82489666,189.32273038,189.32273038,189.32273038,0,0
2020-08-19,189.32273038,190.7218148,190.7218148,190.7218148,0,0
2020-08-20,190.7218148,185.77781096,185.77781096,185.77781096,0,0
2020-08-21,185.77781096,187.4601456,187.4601456,187.4601456,0,0
2020-08-24,187.4601456,193.12515,193.12515,193.12515,0,0
2020-08-25,193.12515,202.2234904,202.2234904,202.2234904,0,0
2020-08-26,202.2234904,203.1247411,203.1247411,203.1247411,0,0
2020-08-27,203.1247411,204.35215872,204.35215872,204.35215872,0,0
2020-08-28,204.35215872,206.429327,206.429327,206.429327,0,0
2020-08-31,206.429327,206.00016,206.00016,206.00016,0,0
2020-09-01,206.00016,202.77282416,202.77282416,202.77282416,0,0
2020-09-02,202.77282416,201.70849,201.70849,201.70849,0,0
2020-09-03,201.70849,204.83282576,204.83282576,204.83282576,0,0
2020-09-04,204.83282576,197.60565348,197.60565348,197.60565348,0,0
2020-09-07,197.60565348,194.74740126,194.74740126,194.74740126,0,0
2020-09-08,194.74740126,190.49006462,190.49006462,190.49006462,0,0
2020-09-09,190.49006462,186.258478,186.258478,186.258478,0,0
2020-09-10,186.258478,191.5801488,191.5801488,191.5801488,0,0
2020-09-11,191.5801488,195.59715192,195.59715192,195.59715192,0,0
2020-09-14,195.59715192,197.48548672,197.48548672,197.48548672,0,0
2020-09-15,197.48548672,197.70007022,197.70007022,197.70007022,0,0
2020-09-16,197.70007022,194.00065068,194.00065068,194.00065068,0,0
2020-09-17,194.00065068,191.1080651,191.1080651,191.1080651,0,0
2020-09-18,191.1080651,197.00481968,197.00481968,197.00481968,0,0
2020-09-21,197.00481968,193.0393166,193.0393166,193.0393166,0,0
2020-09-22,193.0393166,191.3226486,191.3226486,191.3226486,0,0
2020-09-23,191.3226486,188.24981288,188.24981288,188.24981288,0,0
2020-09-24,188.24981288,185.6576442,185.6576442,185.6576442,0,0
2020-09-25,185.6576442,186.4301448,186.4301448,186.4301448,0,0
2020-09-28,186.4301448,188.94506342,188.94506342,188.94506342,0,0
2020-09-29,188.94506342,188.60172982,188.60172982,188.60172982,0,0
2020-09-30,188.60172982,189.691814,189.691814,189.691814,0,0
2020-10-09,189.691814,195.33106838,195.33106838,195.33106838,0,0
2020-10-12,195.33106838,207.5022445,207.5022445,207.5022445,0,0
2020-10-13,207.5022445,207.94857818,207.94857818,207.94857818,0,0
2020-10-14,207.94857818,205.4851596,205.4851596,205.4851596,0,0
2020-10-15,205.4851596,205.06457594,205.06457594,205.06457594,0,0
2020-10-16,205.06457594,203.32215792,203.32215792,203.32215792,0,0
2020-10-19,203.32215792,202.72132412,202.72132412,202.72132412,0,0
2020-10-20,202.72132412,206.84132732,206.84132732,206.84132732,0,0
2020-10-21,206.84132732,207.51941118,207.51941118,207.51941118,0,0
2020-10-22,207.51941118,207.49366116,207.49366116,207.49366116,0,0
2020-10-23,207.49366116,203.10757442,203.10757442,203.10757442,0,0
2020-10-26,203.10757442,199.65707174,199.65707174,199.65707174,0,0
2020-10-27,199.65707174,200.420989,200.420989,200.420989,0,0
2020-10-28,200.420989,205.98299332,205.98299332,205.98299332,0,0
2020-10-29,205.98299332,214.5835,214.5835,214.5835,0,0
2020-10-30,214.5835,209.7339129,209.7339129,209.7339129,0,0
2020-11-02,209.7339129,210.8926638,210.8926638,210.8926638,0,0
2020-11-03,210.8926638,214.9268336,214.9268336,214.9268336,0,0
2020-11-04,214.9268336,217.158502,217.158502,217.158502,0,0
2020-11-05,217.158502,222.66042294,222.66042294,222.66042294,0,0
2020-11-06,222.66042294,222.5660062,222.5660062,222.5660062,0,0
2020-11-09,222.5660062,231.75018,231.75018,231.75018,0,0
2020-11-10,231.75018,234.1535152,234.1535152,234.1535152,0,0
2020-11-11,234.1535152,230.8060126,230.8060126,230.8060126,0,0
2020-11-12,230.8060126,229.7330951,229.7330951,229.7330951,0,0
2020-11-13,229.7330951,227.45851,227.45851,227.45851,0,0
2020-11-16,227.45851,234.325182,234.325182,234.325182,0,0
2020-11-17,234.325182,230.9776794,230.9776794,230.9776794,0,0
2020-11-18,230.9776794,226.35984248,226.35984248,226.35984248,0,0
2020-11-19,226.35984248,227.2010098,227.2010098,227.2010098,0,0
2020-11-20,227.2010098,230.43692898,230.43692898,230.43692898,0,0
2020-11-23,230.43692898,233.96468172,233.96468172,233.96468172,0,0
2020-11-24,233.96468172,233.28659786,233.28659786,233.28659786,0,0
2020-11-25,233.28659786,225.71609198,225.71609198,225.71609198,0,0
2020-11-26,225.71609198,223.66467372,223.66467372,223.66467372,0,0
2020-11-27,223.66467372,225.1410082,225.1410082,225.1410082,0,0
2020-11-30,225.1410082,218.016836,218.016836,218.016836,0,0
2020-12-01,218.016836,221.44158866,221.44158866,221.44158866,0,0
2020-12-02,221.44158866,223.6389237,223.6389237,223.6389237,0,0
2020-12-03,223.6389237,224.56592442,224.56592442,224.56592442,0,0
2020-12-04,224.56592442,229.33826146,229.33826146,229.33826146,0,0
2020-12-07,229.33826146,231.95618016,231.95618016,231.95618016,0,0
2020-12-08,231.95618016,233.466848,233.466848,233.466848,0,0
2020-12-09,233.466848,231.50984648,231.50984648,231.50984648,0,0
2020-12-10,231.50984648,229.75026178,229.75026178,229.75026178,0,0
2020-12-11,229.75026178,229.62151168,229.62151168,229.62151168,0,0
2020-12-14,229.62151168,234.4539321,234.4539321,234.4539321,0,0
2020-12-15,234.4539321,232.4368472,232.4368472,232.4368472,0,0
2020-12-16,232.4368472,235.46676622,235.46676622,235.46676622,0,0
2020-12-17,235.46676622,238.45376854,238.45376854,238.45376854,0,0
2020-12-18,238.45376854,237.63835124,237.63835124,237.63835124,0,0
2020-12-21,237.63835124,241.97293794,241.97293794,241.97293794,0,0
2020-12-22,241.97293794,242.37635492,242.37635492,242.37635492,0,0
2020-12-23,242.37635492,238.86576886,238.86576886,238.86576886,0,0
2020-12-24,238.86576886,236.31651688,236.31651688,236.31651688,0,0
2020-12-25,236.31651688,236.83151728,236.83151728,236.83151728,0,0
2020-12-28,236.83151728,245.4406073,245.4406073,245.4406073,0,0
2020-12-29,245.4406073,241.191854,241.191854,241.191854,0,0
2020-12-30,241.191854,246.23885792,246.23885792,246.23885792,0,0
2020-12-31,246.23885792,250.5047779,250.5047779,250.5047779,0,0
2021-01-04,250.5047779,255.8264487,255.8264487,255.8264487,0,0
2021-01-05,255.8264487,274.64971332,274.64971332,274.64971332,0,0
2021-01-06,274.64971332,281.7910522,281.7910522,281.7910522,0,0
2021-01-07,281.7910522,283.25022,283.25022,283.25022,0,0
2021-01-08,283.25022,272.091878,272.091878,272.091878,0,0
2021-01-11,272.091878,258.5302008,258.5302008,258.5302008,0,0
2021-01-12,258.5302008,266.08354,266.08354,266.08354,0,0
2021-01-13,266.08354,262.07512022,262.07512022,262.07512022,0,0
2021-01-14,262.07512022,248.4018596,248.4018596,248.4018596,0,0
2021-01-15,248.4018596,246.9426918,246.9426918,246.9426918,0,0
2021-01-18,246.9426918,244.2389397,244.2389397,244.2389397,0,0
2021-01-19,244.2389397,241.621021,241.621021,241.621021,0,0
2021-01-20,241.621021,244.4964399,244.4964399,244.4964399,0,0
2021-01-21,244.4964399,254.8822813,254.8822813,254.8822813,0,0
2021-01-22,254.8822813,253.68919704,253.68919704,253.68919704,0,0
2021-01-25,253.68919704,270.96746046,270.96746046,270.96746046,0,0
2021-01-26,270.96746046,262.46137052,262.46137052,262.46137052,0,0
2021-01-27,262.46137052,251.13136172,251.13136172,251.13136172,0,0
2021-01-28,251.13136172,245.483524,245.483524,245.483524,0,0
2021-01-29,245.483524,249.89536076,249.89536076,249.89536076,0,0
2021-02-01,249.89536076,250.88244486,250.88244486,250.88244486,0,0
2021-02-02,250.88244486,261.03653608,261.03653608,261.03653608,0,0
2021-02-03,261.03653608,265.0106225,265.0106225,265.0106225,0,0
2021-02-04,265.0106225,269.1735424,269.1735424,269.1735424,0,0
2021-02-05,269.1735424,274.46087984,274.46087984,274.46087984,0,0
