date,open,high,low,close,volume,amount
2020-01-02,5.15310452,5.15310452,5.15310452,5.15310452,0,0
2020-01-03,5.15310452,5.15310452,5.15310452,5.15310452,0,0
2020-01-06,5.15310452,5.13604126,5.13604126,5.13604126,0,0
2020-01-07,5.13604126,5.13604126,5.13604126,5.13604126,0,0
2020-01-08,5.13604126,5.05072496,5.05072496,5.05072496,0,0
2020-01-09,5.05072496,5.07631985,5.07631985,5.07631985,0,0
2020-01-10,5.07631985,5.04219333,5.04219333,5.04219333,0,0
2020-01-13,5.04219333,5.04219333,5.04219333,5.04219333,0,0
2020-01-14,5.04219333,5.27254734,5.27254734,5.27254734,0,0
2020-01-15,5.27254734,5.22135756,5.22135756,5.22135756,0,0
2020-01-16,5.22135756,5.13604126,5.13604126,5.13604126,0,0
2020-01-17,5.13604126,5.09338311,5.09338311,5.09338311,0,0
2020-01-20,5.09338311,5.17016778,5.17016778,5.17016778,0,0
2020-01-21,5.17016778,5.05072496,5.05072496,5.05072496,0,0
2020-01-22,5.05072496,5.01659844,5.01659844,5.01659844,0,0
2020-01-23,5.01659844,4.82037095,4.82037095,4.82037095,0,0
2020-02-03,4.82037095,4.34259967,4.34259967,4.34259967,0,0
2020-02-04,4.34259967,4.41938434,4.41938434,4.41938434,0,0
2020-02-05,4.41938434,4.44497923,4.44497923,4.44497923,0,0
2020-02-06,4.44497923,4.59001694,4.59001694,4.59001694,0,0
2020-02-07,4.59001694,4.56442205,4.56442205,4.56442205,0,0
2020-02-10,4.56442205,4.6070802,4.6070802,4.6070802,0,0
2020-02-11,4.6070802,4.59001694,4.59001694,4.59001694,0,0
2020-02-12,4.59001694,4.61561183,4.61561183,4.61561183,0,0
2020-02-13,4.61561183,4.57295368,4.57295368,4.57295368,0,0
2020-02-14,4.57295368,4.57295368,4.57295368,4.57295368,0,0
2020-02-17,4.57295368,4.72652302,4.72652302,4.72652302,0,0
2020-02-18,4.72652302,4.71799139,4.71799139,4.71799139,0,0
2020-02-19,4.71799139,4.68386487,4.68386487,4.68386487,0,0
2020-02-20,4.68386487,4.76064954,4.76064954,4.76064954,0,0
2020-02-21,4.76064954,4.80330769,4.80330769,4.80330769,0,0
2020-02-24,4.80330769,5.0336617,5.0336617,5.0336617,0,0
2020-02-25,5.0336617,4.9483454,4.9483454,4.9483454,0,0
2020-02-26,4.9483454,5.02513007,5.02513007,5.02513007,0,0
2020-02-27,5.02513007,4.90568725,4.90568725,4.90568725,0,0
2020-02-28,4.90568725,4.67533324,4.67533324,4.67533324,0,0
2020-03-02,4.67533324,4.8630291,4.8630291,4.8630291,0,0
2020-03-03,4.8630291,4.87156073,4.87156073,4.87156073,0,0
2020-03-04,4.87156073,4.84596584,4.84596584,4.84596584,0,0
2020-03-05,4.84596584,4.97394029,4.97394029,4.97394029,0,0
2020-03-06,4.97394029,4.88009236,4.88009236,4.88009236,0,0
2020-03-09,4.88009236,4.81183932,4.81183932,4.81183932,0,0
2020-03-10,4.81183932,4.92275051,4.92275051,4.92275051,0,0
2020-03-11,4.92275051,4.83743421,4.83743421,4.83743421,0,0
2020-03-12,4.83743421,4.75211791,4.75211791,4.75211791,0,0
2020-03-13,4.75211791,4.67533324,4.67533324,4.67533324,0,0
2020-03-16,4.67533324,4.53029553,4.53029553,4.53029553,0,0
2020-03-17,4.53029553,4.54735879,4.54735879,4.54735879,0,0
2020-03-18,4.54735879,4.4364476,4.4364476,4.4364476,0,0
2020-03-19,4.4364476,4.42791597,4.42791597,4.42791597,0,0
2020-03-20,4.42791597,4.51323227,4.51323227,4.51323227,0,0
2020-03-23,4.51323227,4.39378945,4.39378945,4.39378945,0,0
2020-03-24,4.39378945,4.53029553,4.53029553,4.53029553,0,0
2020-03-25,4.53029553,4.57295368,4.57295368,4.57295368,0,0
2020-03-26,4.57295368,4.50470064,4.50470064,4.50470064,0,0
2020-03-27,4.50470064,4.48763738,4.48763738,4.48763738,0,0
2020-03-30,4.48763738,4.49616901,4.49616901,4.49616901,0,0
2020-03-31,4.49616901,4.45351086,4.45351086,4.45351086,0,0
2020-04-01,4.45351086,4.4364476,4.4364476,4.4364476,0,0
2020-04-02,4.4364476,4.47910575,4.47910575,4.47910575,0,0
2020-04-03,4.47910575,4.48763738,4.48763738,4.48763738,0,0
2020-04-07,4.48763738,4.6070802,4.6070802,4.6070802,0,0
2020-04-08,4.6070802,4.55589042,4.55589042,4.55589042,0,0
2020-04-09,4.55589042,4.70945976,4.70945976,4.70945976,0,0
2020-04-10,4.70945976,4.59001694,4.59001694,4.59001694,0,0
