date,open,high,low,close,volume,amount
2020-01-02,13.68472469,13.68472469,13.68472469,13.68472469,0,0
2020-01-03,13.68472469,13.93619266,13.93619266,13.93619266,0,0
2020-01-06,13.93619266,13.84696209,13.84696209,13.84696209,0,0
2020-01-07,13.84696209,13.91185705,13.91185705,13.91185705,0,0
2020-01-08,13.91185705,13.51437542,13.51437542,13.51437542,0,0
2020-01-09,13.51437542,13.61982973,13.61982973,13.61982973,0,0
2020-01-10,13.61982973,13.53871103,13.53871103,13.53871103,0,0
2020-01-13,13.53871103,13.78206713,13.78206713,13.78206713,0,0
2020-01-14,13.78206713,13.59549412,13.59549412,13.59549412,0,0
2020-01-15,13.59549412,13.40080924,13.40080924,13.40080924,0,0
2020-01-16,13.40080924,13.24668371,13.24668371,13.24668371,0,0
2020-01-17,13.24668371,13.29535493,13.29535493,13.29535493,0,0
2020-01-20,13.29535493,13.34402615,13.34402615,13.34402615,0,0
2020-01-21,13.34402615,12.978992,12.978992,12.978992,0,0
2020-01-22,12.978992,13.05199883,13.05199883,13.05199883,0,0
2020-01-23,13.05199883,12.60584598,12.60584598,12.60584598,0,0
2020-02-03,12.60584598,11.34850613,11.34850613,11.34850613,0,0
2020-02-04,11.34850613,11.8433302,11.8433302,11.8433302,0,0
2020-02-05,11.8433302,11.86766581,11.86766581,11.86766581,0,0
2020-02-06,11.86766581,11.98123199,11.98123199,11.98123199,0,0
2020-02-07,11.98123199,11.85955394,11.85955394,11.85955394,0,0
2020-02-10,11.85955394,11.7622115,11.7622115,11.7622115,0,0
2020-02-11,11.7622115,11.99745573,11.99745573,11.99745573,0,0
2020-02-12,11.99745573,11.98123199,11.98123199,11.98123199,0,0
2020-02-13,11.98123199,11.88388955,11.88388955,11.88388955,0,0
2020-02-14,11.88388955,12.19214061,12.19214061,12.19214061,0,0
2020-02-17,12.19214061,12.46794419,12.46794419,12.46794419,0,0
2020-02-18,12.46794419,12.3300424,12.3300424,12.3300424,0,0
2020-02-19,12.3300424,12.36248988,12.36248988,12.36248988,0,0
2020-02-20,12.36248988,12.64640533,12.64640533,12.64640533,0,0
2020-02-21,12.64640533,12.63829346,12.63829346,12.63829346,0,0
2020-02-24,12.63829346,12.35437801,12.35437801,12.35437801,0,0
2020-02-25,12.35437801,12.20025248,12.20025248,12.20025248,0,0
2020-02-26,12.20025248,12.15969313,12.15969313,12.15969313,0,0
2020-02-27,12.15969313,12.25703557,12.25703557,12.25703557,0,0
2020-02-28,12.25703557,11.7622115,11.7622115,11.7622115,0,0
2020-03-02,11.7622115,11.99745573,11.99745573,11.99745573,0,0
