日期,开盘,最高,最低,收盘,成交量,成交额,return,is_extreme
2020-01-02,5.05072496,5.2042943,5.04219333,5.15310452,202281900,1219376050.0,,False
2020-01-03,5.17016778,5.23842082,5.13604126,5.15310452,110901438,672556201.0,0.0,False
2020-01-06,5.10191474,5.18723104,5.07631985,5.13604126,129117991,777159850.0,-0.003316752625994038,False
2020-01-07,5.14457289,5.15310452,5.10191474,5.13604126,89912307,540169555.0,0.0,False
2020-01-08,5.10191474,5.10191474,5.0336617,5.05072496,137584735,816994009.0,-0.01675081042481524,False
2020-01-09,5.08485148,5.118978,5.05925659,5.07631985,100308163,597794589.0,0.005054770661624054,False
2020-01-10,5.07631985,5.11044637,5.0336617,5.04219333,119272171,708979905.0,-0.006745388139531538,False
2020-01-13,5.02513007,5.05072496,4.95687703,5.04219333,118266405,693896963.0,0.0,False
2020-01-14,5.05072496,5.32373712,5.05072496,5.27254734,443966016,2730734269.0,0.0446724400515926,False
2020-01-15,5.26401571,5.30667386,5.2042943,5.22135756,182817472,1123324579.0,-0.009756174945364572,False
2020-01-16,5.24695245,5.26401571,5.118978,5.13604126,164493023,996695114.0,-0.016474837203505097,False
2020-01-17,5.118978,5.15310452,5.08485148,5.09338311,96215354,576172806.0,-0.008340331916218838,False
2020-01-20,5.10191474,5.17016778,5.06778822,5.17016778,128883052,774231132.0,0.01496287267671232,False
2020-01-21,5.118978,5.118978,5.0336617,5.05072496,132376371,785466438.0,-0.023373351185308713,False
2020-01-22,5.0336617,5.04219333,4.93128214,5.01659844,121388423,708153687.0,-0.006779686985378804,False
2020-01-23,4.9483454,4.98247192,4.76064954,4.82037095,200335479,1141228135.0,-0.03990121675218596,False
2020-02-03,4.34259967,4.44497923,4.34259967,4.34259967,251211510,1280788806.0,-0.1043777145959182,False
2020-02-04,4.265815,4.41938434,4.265815,4.41938434,212680246,1092533327.0,0.017527225708960103,False
2020-02-05,4.41938434,4.53882716,4.38525782,4.44497923,186797062,978844079.0,0.005774799493883958,False
2020-02-06,4.47910575,4.59854857,4.4364476,4.59001694,185010279,985272975.0,0.0321085184084173,False
2020-02-07,4.56442205,4.58148531,4.50470064,4.56442205,126911598,675540206.0,-0.00559181326577783,False
2020-02-10,4.53882716,4.64973835,4.51323227,4.6070802,150606729,808797219.0,0.00930239266231363,False
2020-02-11,4.64973835,4.66680161,4.56442205,4.59001694,126512637,683041636.0,-0.003710579396535713,False
2020-02-12,4.57295368,4.61561183,4.55589042,4.61561183,114583596,616647075.0,0.005560718684696958,False
2020-02-13,4.59854857,4.61561183,4.53882716,4.57295368,126510124,677960653.0,-0.009285117775679428,False
2020-02-14,4.54735879,4.59854857,4.54735879,4.57295368,91362889,489651051.0,0.0,False
2020-02-17,4.58148531,4.73505465,4.57295368,4.72652302,198900780,1089742919.0,0.03303052567648175,False
2020-02-18,4.70092813,4.76918117,4.67533324,4.71799139,138265208,764440553.0,-0.0018066852249490357,False
2020-02-19,4.71799139,4.74358628,4.67533324,4.68386487,133709220,738552264.0,-0.007259560012804223,False
2020-02-20,4.6923965,4.7777128,4.64120672,4.76064954,184727335,1020268007.0,0.016260520871780326,False
2020-02-21,4.76064954,4.85449747,4.75211791,4.80330769,181120153,1021090650.0,0.008920665758379362,False
2020-02-24,4.82037095,5.07631985,4.82037095,5.0336617,327431744,1915853102.0,0.046842908760074686,False
2020-02-25,4.93128214,5.01659844,4.7777128,4.9483454,289971792,1671514407.0,-0.017094433359300068,False
2020-02-26,4.85449747,5.25548408,4.83743421,5.02513007,455888096,2706300907.0,0.015398080111121662,False
2020-02-27,5.05925659,5.08485148,4.88862399,4.90568725,268658736,1557339567.0,-0.024056142854236382,False
